review,label
tampil padahal sistem cod ambil sendiri bukan kurir nganter story kasih bintang kapok beli,0
pesan warna putih sama blue denim ukur m eh satu malah kirim hitam ukur xl kan jadi gak dipake kecewa padahal waktu pernah beli sini bagus semua kali kecewa,0
tampil oke percis kayak foto warna oke tipis kali bahan,0
tampil warna hitam barang mungkin stok lama emang bahan kurang bagus baru dipake jam udah putus padahal pake jalan biasa,0
tampil celana bolong kaya habis gigit tikus warna bagus,0
tampil barang sesuai,1
benar dong masa pesan warna abu wash datang malah warna hitam waktu chat admin wa nya malah gada respon,0
bahan jelek oversized,0
baju oversize nyata ukur standar,1
baru celana coba robek kecewa,0
vendor lepas seller bodo,0
bahan kayak tai tipis padahal udah beli kali kok sekarang makin buruk kualitas,0
mengecewakandan aku langsung buka paket datang nyata zonk aku pernah beli model sama beda warna toko fisik datang celana anak ukur karna ngga ukur hitam jadi aku beli online kecewa celana muat cuma pahamalah muat anak umur th,0
motif nya gede banget,1
saran tampil kain sekarang tipis kayak s anjir tipis sekali kain sekarang anjir,0
datang sesuai pesan,0
size l kecil jadi ga kaya oversize,0
maaf baru sempat review mau tes kualitas dulu nyata kualitas buruk baru aja dipake hari kaspirnya udah rusak tali super besar kaya tali tambang tali pasang tas ukur segitudan aku lepas tali mending sih pake tali ajamaaf review jujur bukan maksud menjatuhkanmudahmudahan depan baik sesuai review terimakasih,1
jelek beda pas pertama beli bahan jelek udah beli ukur beda padahal pese barang sama kapok beli bahanya beda ukur beda padahal beli pinginnya sama pertama rasa tipu,0
layan sangat lambat respon lambat,1
tampil kecewa hitam beda ga pekat,0
pas acara kecewa bahan sesuai padan harga lumayan,1
stiker doang pelit banget anjing,0
sesuai gambar,1
xlnya terlalu gede ku kira kaya dulu xl pas gak tau yah gede,0
tampil pxl x dateng x malas deh,0
tampil tipis banget woilah,0
tampil sesuai gambar bagus kain tebal mantap warna hitam cream mantap bagus gak nyesal order sini mau order,1
tampil kaos nya dateng udah bolong aja,0
warna wash tampil sobek bagus sobek,0
kain nerawang tipis banget kerah loh kok gitu ga bakal tahan lama baju,0
warna bagus tampil kurang bagus,0
bahan kain tipis banget,0
jeans bukan chinos,0
terlalu mahal bahan tipis sesuai harga,1
bulu nya jatuh tekstur nya gak bagus,0
pengiriminan nya lambat banget kecewa,1
warna maroon barang sesuai bahan tipis ukur sesuai oversize l asa pake ukur m sangat kecil padahal biasa beli baju oversize ukur m besar beli ukur l lebih kecil dri ukur m kata oversize,1
tampil zonk warna jauh harap beda sama display kurang masuk,0
tampil norak banget anjing gue mau beli sini,0
tampil bagus warna hitam dua kali nya order toko inibaguss deh ga nyesel,0
sorry bangett deskripsi tshirt nya bahan cotton s nyata pas sampee bahan s tipis banget,0
noda kuning kaos,0
warna bagus tampil buruk tipis bahan kaya baju bekas,0
kualitas bahan sangat sangat jelek tipis harga baju ribu bahkan kadang lebih cantik kualitas ribu,1
tampil bahan jelek kasar sesuai ingin,0
bahan tipis lebih s cuttingan oversize kurang lebar cuman panjang lengan doang,0
tampil milik kualitas bolong noda barang kualitas sesuai harga beda jauh promosi model mau return dimintain ongkir jual kurang teliti ngga mau rugi,1
tampil bagus warna bagus padahal order size xl kecil banget,0
tampil gak sesuai ekspektasi,1
kecil terus aku beli sini padahal ukur pas,1
warna kurang bagus tampil kurang bagus sandal gak sesuai sama aslinyatapi pas sih kaki,0
sesuai pesan,1
tampil buruk warna kusam kain bagus,0
kualitas kurang gak sesuai pesan,1
kain tipis mahal sobek dah lah,0
jahit kain kurang rapi,0
kualitas lumayan beli baju kerah sama enggak ukur m panjang cm tp pas coba kerah lebih kecil padahal sama m rugi gw woy rb blok,1
kecil gausah beli udah sen xxl tetap gamuat padahal biasa ane make xl,0
panjang baju kurang cuma apa apa,0
saran tampil kurang sih kurang bagus sablon sama warna kain tak sesuai ekspektasi,0
kecewa kain kotor noda,0
sesuai gambar,1
warna beda kecewa banget,0
kualitas kain tipis banget,1
sebenernya sih kecewa sini kaos beli size xl pas coba kok kaya size l ngepas banget badan gak lihat oversize,1
gambar sesuai produk,1
celana bungkus plastik celana bekas tambah kantong celana bolong jangan daya harga murah nyesal banget beli dsni,0
tipis banget astaga kayak kain lap,0
styling kayak barang bekas pas acara barang jelek padan uang sesuai harga kualitas sangat kecewa gak bakal beli sini barang bekas baju bulu warna pakai udah luntur sangat buruk sekali toko jual barang sesuai harap barang sampah,0
styling jelek padan uang sesuai nyaman jelek barang nya buruk tipis gambar sama foto sesuai beda sama toko seblah harga pas kualitas oke,1
pesan oversize malah datang kaos biasa teliti dulu kak kirim,0
saran tampil tampil bagus padan uang nyaman lumayan barang baru kali pakai lem udah copot,0
pas acara kecewa,1
pesan putih datang hitam kirim lama,0
kira langgan goblok tau mana baru mana bekas bau sama kain jelas bekas cuma kasih label belakang biar kes baru kain kantong udah lusuh mulai bulu bau bikin mual bukan mau jatuh pihak mana tp bicara apa ada allah rasul,0
kata nya press tali sama kaos kaki pas nyampai gak terus bahan sesuai tipis banget,1
pas acara barang sesuai foto mbak posting,1
pas acara no styling cocok nyaman nyaman admin kurang fast respon kirim lama kayak siput,1
pas acara ukur sesuai deskripsi,1
saran tampil sesuai gambar,0
pas acara ukur sesuai,1
pesan datang cek kali,0
datang enggak sesuai,0
pesan warna hitam datang warna putih aneh banget,0
nyaman bahan tipis nerawang,1
nyaman nyaman robek nya tangan,1
celana cacat kagak kancing aju kembali proses terlalu rumit salah buat sama seller ketidaktelitiannya mesti urusin padahal buat kasih orang malu minta ampun ngasi barang cacat diskusi chat bukan respon apa kecewa gua,0
barang lama banget nyampenya kalau gw tau kemarin gw beli cabang lombok tengah,0
nyaman bahan jelek banget,0
ukur kurang sesuai warna ga mirip,1
saran tampil xxl bukan masalah kecil warna baju sesuai masak pudar laen kali kalau bikin baju sesuai sama foto,1
bahan gak sesuai sama deskripsi kayak kain lap aja tipis sekali jujur kalau jual kata cotton s tipis minta ampun,0
lama kurir sombong kali,0
styling miss acak kualitas buruk tipis nerawang m oversize tp ngatung kayak size s,0
barang sesuai sen gambar,1
sesuai warna pesan datang warna,0
kualitas bukan s jelek bahan jelek bukan s bukan oversize fit malah kaya kaos biasa,0
barang jelek tipis sedikit kecewa,0
beli cream kasih hitam,0
pas leher gede jelek banget kalo tangan sama pinggir bagus pas,0
nyaman barang sesuai bahan tipis,1
bahan kayak karung kacang tanah,0
lengan panjang belah anjir,0
styling bahan jelek banget,0
styling bahan tipis gak sesuai sama foto,1
saran tampil gak bagus minta ukur m datang ukur xl malah besar gak bagus,0
kualitas buruk saran tampil biasa aja styling bad,0
topi apa kerudung sih atas gede banget,0
tipu beli dateng ga sesuai,1
nyaman sablon belakang sangat jelek kualitas sablon jelek padan uang padan sablon tulis belakang sangat jelek banget cuci luntur sablon belakang nyesel banget beli toko jujur bangke benar,0
kain tipis banget anjing,0
quality control respon seller nipu gak sih beli jaket buat langsung dipake malah suruh jual bolongin sendiri semua lobang kancing padahal foto kancing bolong semua deskripsi gak tulis kancing bolongin sendiri eaa sih rasa tipu gak tau kalau kalian gimana masa iya resto mesen ayam goreng tp ayam suruh goreng sndiri plus respon jual bikin gedeg buat nulis screenshot lampir nyuruh banyak belanja online biar referensi harus kalian banyak referensi toko macam apa gak waktu ngurus returnannya udah kadung kesal acara pake jaket udah lewat,0
nyaman nyaman dipake pas acara jelek padan uang padan harus nya tambah promo kualitas kain tak kira harga promo sama kayak barang toko kain elastis tebal ni kain tipis gak elastis cepet robek sekrng dah buat kesetmemang harga segitu cocok tambahin dikit dah dapet toko bagus,1
jelek banget bahan tipis dah gitu gede kaga jelas ga usah beli sini,0
bom bulan udah lepas lem payah,0
baju bahan tipis gak kayak beli toko langsung kecewa sihmalas gue beli arj,0
ngecewain parah bahan tipis warna luntur padahal baru lu kok dagang jangan bodohin langgan nutup rezeki diri lu sendiri padahal gua sering beli toko akhir kali nya gua beli toko lu gua harap lu cepet sadar gimana cara nya jual benar quality sangat buruk gak rekomendasi banget beli toko,0
value for money harga sesuai kualitas styling biasa aja suggested look biasa aja motif pes sesuai pilih motif tulis jepang malah kirim motif daun baru kali mesen barang ga sesuai arah maaf kasih bintang unfollow,1
barang bagus jual ga jelas ngirimnya aku uda pesan warna malah kirim barang warna sama ga jelas banget,1
tampil warna xxl kecil banget parah,0
tampil produk lumayan bagus kecil sesuai ekspektasi padahal ukur sini sama percuma gak pakai,1
jelek tipis kasar bahan gak sesuai,0
tampil buruk mahal bolong barang jelek jual mahal,0
deskripsi tulis oversize kok ukur baju reguler,1
lama nyampenya pas dateng jelek banget barang karat bau,0
tampil motif tarik kualitas buruk sangat tipis kerah kayak kain kenceng bahan tipis banget kayak kalau nyangkut robek warna biasa,0
tampil warna kain pudar,0
jelek bat sablon sekali cuci langsung kelupas,0
tampil biru warna biru kesal,0
kain terlalu tipis nerawang,0
tampil pesan m kirim malah sgimana sih,0
warna sesuai gambar terlalu pudar pekat tampil sablon kurang bagus cepat rusak,0
tampil sesuai ingin,1
kecewa gak sesuai sama foto,1
tampil jelek warna kira xl nyata kayak l parah ni,0
tampil bagus warna kurang bagus warna kurang bagus,0
warna sablon murah banget jelek,0
barang sesuai gambar gilir komplain ga tanggap,1
jual keliru nyata croptop,0
tampil lumayan warna hitam kirim lama bangsat,0
woy biawak ngomong lah kalau ni l kecil kepala aku cukup gak bawah ni,0
tampil mesen barang cuman satu lho udah bayar dua barangya bagus cuman datang satu,0
tampil karat bagi tali hoodie warna luntur cuci dichat direspon,0
tampil gambar bagustapi celana tipis banget,0
tampil bagus warna bagus barang bagus cuma kurir ramah,0
warna hitam kusam tampil tipis kecewa kirim lama banget minggu minggubahan tipis banget,0
hari pernah beli kaos sini hari memang bagus baju ni kecewa si soal datengnya malah bagi collar kuning gitu kayak entah bekas apa sompel dikit baju lain gue sen bagus si cuma kuning loh,0
tampil model bagus nyata motif cuma sablon kirain print bahan sangat tipis bulu kecewa sih gak sesuai ekpetasi,0
noda tinta kain,0
kerah ga muat lu bikin gak ukur apa gimana dah kecewa,0
baju pendek banget anjir padahal ukur nya pas cuman rada pendek,1
tolol beli celana panjang dateng celana pendek,0
tampil bagus warna hitam pudar warna kain pudar woy anjir lah,0
bahan jauh cotton combed s,0
apa harga segitu bahan kayak an tipis banget minimal harga segitu udah bagus tebel,0
tampil jelek warna hitam wkwkwk jangan beli dah,0
kirim cukup lama padahal satu pulau cuma beda kota,0
tampil beda datang sama foto,0
kaos kaki nyata masalah kaos kaki sesuai pesan konfirmasi toko kalau ganti,0
barang gak pas sama hp besar jadi gak kepake padahal situ udah jelas xiaomi mi note,1
bagi bawah pendek banget gak sesuai lah pokok,1
warna cocok sama pesan tampil bagus,0
bagi lengan terlalu panjang bagi badan terlalu pendek mentok sampek pinggang kayak bukan ukur l biasa pakai,0
jelek banget pesan datang,0
tampil sesuai pesan warna putih jelek rekomendasi beli baju sini pesan mana kirim mana ga jelas,0
masak baru beli udah bolong,0
payah kirim lama banget,0
tampil bahan nya jelek banget warna lumayan bahan jelek,0
mau honest review pertama barang kosong tp etalase mas ready udah diconfirm chat oke dua panjang sesuai detail ukur cantum terang xl cuma cm obras belakang baju bikin baju jadi enak pandang pas coba buka jahit belakang baju nyata baju robek tambal pake obrasann fix udah golong baju reject pihak toko tawar return tp tolak ribet proses lama tangerang denpasar sekian moga depan lebih teliti excited banget beli baju pake gaji rupa suatu bangga sendiri hehe,1
jahit ngawur banget kecewa,0
tampil baju oversize lengan terlalu pendek kerah terlalu kecil ketat,0
udah langgan sekarang ukur nya kecil dulu beli,1
warna nya beda banget sama foto bahan tipis panas kacau,1
tampil kurang tarik bau baju kayak tai buruk sekali,0
bagi pas bagi kecil bagi besar gak konsisten,1
kali cek kirim emang sengaja gimana kirim malah celana panjang mau return ribet malas,0
tampil baju pendek lebar sisi jelek kalau pakai,0
tampil ukur udah kayak ukur jauh sekali sama pinggang,0
tampil sampah kayak kontol,0
bahan tipis banget kualitas sangat buruk sizenya kecil bukan oversize gak worth it payah,0
tampil udah kayak celana sport aja ku pake wkwk,0
toko anjing sesuai pesan babi bangsat,0
tampil borok warna myn bahan tipis sablon borok gak sesuai gambar,0
tampil kecewa kecewa banget,0
warna pekat bahan tebel cuma kayak bulu kambing,0
tampil benyek ga kaya biasa packing ngasal padahal dulu beli ga kayak gin,0
jelek bagi kantong jahit miring gak respon jual buruk gak usah beli,0
tampil m warna hitam lumayan,0
sesuai gambar bekas noda kayak turun warna gitu segar warna sen sesuai masak sortir dulu packing,1
warna army tampil buruk beli dua kali nyata sangat buruk amanah barang sangat tipis,0
tampil parah cek dulu kalau mau kirim,0
tampil jelek warna jelek tipis murah emang murah sih,0
tampil jos kecewa minta ga kasih tag malah kasih,0
warna hitam tampil tipis mudah kusut worth it banget kayak baju ribu,0
bahan tipis banget beda kayak satu lumayan tebal kaya baju sisa kasih sangat kecewa,0
pesan no datang no hadeh,0
ukur l kecil ga pakai sedih,0
bahan tipis sablon pecah,0
gak sesuai awal beli bahanya bagus jepit pas ngejepit banget lepas bahanya jelek kaya topi sekolah sd,0
tampil bahan gak sama tipis jual gak ramah,1
tampil cok kain tipis harga mahal gak sesuai harga,1
sen kupluk kirim topi,1
tampil rapi warna putih kualitas nya bagus ukur nya pas bahan nya tebal cocok pakai kapankapan beli bro produk,1
warna hitam kak kok tipis banget,0
warna jelek sesuai,0
tampil kontol aku pesan kupluk bukan topi kontol ngentod,0
baju apa kok panjang sangat sesuai baju biasa pesan pendek kali baju kayak abis kena potong lalu jait gimana nih biasa pesan gak macam merk memang fennel kok pendek kali ga kayak baju biasa sizenya sangat konsisten akhir kali belanja toko,0
keliru nih ukur bukan oversize,0
tampil puas belanja toko bahan melar banget udah gitu tipis sesuai harga warna kusam,1
lengan besar gimana sih gak sesuai udah beli mahal,1
barang sesuai gambar,1
bahan gak sesuai foto,1
apa rban nerawang banget woi,0
tampil baju overzisenya bukan baju overzise kaos,0
tampil biasa warna biasa mah celana anak sd kecil banget apa boxer kecil,0
tampil biasa aja warna walnut biasa baca pesan orangpesen saku kok malah polosanyg pes apa datang apa sangat kecewa,0
kata kaos oversize kecil,0
sablon jelek banget kena tipu gw,0
tampil jelek sesuai foto,0
tampil jelek banget kusam bulu kayak udah pernah pakai warna putih nyesel senyeselnya beli sini bagus ga usah jual lah kalau barang nya ga sesuai,0
warna hitam tampil dasar karet kurang nyaman pakai mahal kecil celana training bukan celana jeans kali kalau beli gak usah beli sini ga dicancel,0
tampil dasar karet kurang nyaman pakai mahal kecil celana training bukan celana jeans warna abu kali kalau beli gak usah beli sini,0
tampil bagus warna hitam oke barang oke kecil tipis kirim lama hari inti suka,0
kain kaya lap anjir,0
datang lama banget padahal keluar daerah,0
anjing nyesel gw beli sini kata s eh datang s tipis banget jahit gak rapi serius lah kalau jual jahit kayak gigit tikus,0
gede hitam wash nya luntur jelek,0
karet tangan kendor gimana nih seller,1
tampil sandal dipake hari lepas rekomendasi kecewa banget pokok,0
tampil gak sesuai diiinginkan kecewa kirim lambat,1
pola oversizenya beda beda,0
bahan baju s serasa s parah,0
warna terlalu kilat ga sesuai ekpetasi,1
tampil kata oversize nyata enggak,0
tampil tipis tembus warna pudar kak masa bahan tipis banget warna white bukan gambar kosong nyesel banget beli kaos nerawang,0
tangan gak pas jahit gak sesuai lengan ukur gak sesuai chart,1
tampil baju robek warna putih baju robek,0
xxl kecil kaya ukur anak kecil,0
jelek banget gak sesuai harap,0
tampil sesuai gambar sayang sobekgimana cara return nih muas,1
kualitas buruk tipis mudah melar jelek nyesel beli sini,0
warna hitam ukur l kok besar sih,1
tampil bagus warna sesuai foto soal bahan sih tebal warna kok beda depan pudar belakang hitam pekat kayak warna gitu apa hitam aja kaya gitu warna semua warna,0
tampil oke bagi pundak panjang banget and bagi lengan pendek kayak overzize gitu,0
tak sesuai ingin,1
tampil pudar sangat tipis,0
tampil bagus warna lumayan lah paha nya kecil gak muat,0
tampil ga sesuai ekspektasi,1
tampil kirim pesan produk cek dulu bagi leher hitam sama bagi lengan nya sobek warna putih,0
barang gak kembali respon toko jelek main kirim aja padahal udah gue aju batal malah tolak buat apa sen celana warana sama gk amanah ni toko,0
baju kirim baju shopee express bekas bau badan video ga diupload blur ga tau curang siapa apa iya jasa kirim ngeganti baju,0
tampil tipis isi bekas noda warna milo buruk,0
sen lengan panjang kasi lengan pendek tukar barang malah beli nanggung ongkir salah beli toko,0
baju sesuai aku pilih hitam datang warna abu abu,0
noda kuning bagi leher,0
tampil jelek warna jelek pesan lainyg kirim,0
ukur ga sesuai tulis,1
minta detail doang didetailin ga dibales wkwk chuaks,0
kecewa parah arj gatau tim packingnya stockernya lalai,0
tampil kain tipis sablon jelek harga segitu sebenernya dapet kain bagus first time belanja sini luar ekspetasi harga segitu biasa dapet barang bagus toko belah,0
tampil sedikit lecet,0
ga sesuai bahan jelek pake banget,0
tampil jelek tipis gampang sobek warna hitam kayak tas harga rb obral bener kecewa jelek asli nyesel beli sini tipis banget gampang sobek bahan,0
tampil jelek warna kotor jelek,0
warna hitam tampil baju terlalu besar kecewa,0
tampil jelek banget warna item cape gw anying bolak balik,0
warna aman tampil bagus baju ga sesuai bahan tipis banget jahit jelek ga kaya baju biasa norak kali kalau jual sesuaiin harga dong k dapet baju butut tipis bagus bahan partai,0
kecewa banget gua mesen warna hitam malah datang warna krem mohon baik kerja mana pas gua proses kembali barang malah gagal tunggu resi keluar dulu kata sekarang nihil,0
tampil burik warna hitam barang jelek bahan jelek,0
tampil terlalu kecil kecil,0
bahan beda dulu kecewa banget potong beda,0
udah tiga kali beli sini pertama oke dua lumayan tiga jelek parah kecewa,0
jelek tas gak sesuai harga,1
jaitan bagi lengan ngawur parah,0
warna hitam kecewa padahal udah langgan malah dikecewain hadeh,0
tampil kecewa barang noda bahan jelek inti kecewa gara gara noda,0
tampil sesuai warna sesuai bahan tebal beli coklat dateng kayak ijo abu gitu ngga konfirmasi jual jasa kirim lama minggu baru sebenernya males kasih nilai biar orang tau warna sesuai gambar,1
biasa ukur pas sama gua kok besar banget,1
bagus cuman barang sesuai deskripsi xl panjang nya deskripsi cm datang cuman chat ga direspon,0
tampil gak sesuai foto warna bukan ori the ori bukan ori banget,0
tampil lebih diperhatiin tengah celana robek parah kalian,0
luntur jahit kurang rapih buruk,0
tampil lengan lebar size kecil padahal udah beli kali toko sama,0
ngga ngga beli toko sangat kecewa,0
gak sesuai ekspetasi lihat ulas kata bahan tebal nyata engga nyesel beli,0
tampil terlalu kecil warna bagus besar ukur kepala hodienya sesak pakai besarin baju,0
tampil bahan kok tipis gin sih kecewa,0
tampil lobang kepala terlalu kecil besar lobang kepala lebih nyaman pakai warna bagus kecewa sedikit lobang kepala terlalu kecil besar lobang kepala lebih nyaman pakai,0
tampil kacau kirim warna beda warna konfirmasi dulu,1
warna sen nya padahal topi kupluk pas kirim malah topi semua tai lah,0
ukur xxl oversize kaya ukur xl biasa kain tipis sesuai deskripsi,1
baju sesuai ukur tera sangat kecewa,1
tampil baju tipis banget benar harga an udah tebel banget tipis,1
barang kembali sama sekali,1
tampil barang datang sesuai sama pes warna sesuai kecewa toko kurang teliti apa bagaimna tau salah packing barang gitu,0
tampil buruk parah banget sobek,0
kecewa banget nunggu lama pas dateng baju bolong ketek bolong,0
mohon maaf kasih bintang aja celana tali putus sama depan robek ngirimnya asal asal gak lihat produk,1
kirain xl bakal besar nyata kecil sempit gantung,0
kata s kain datang s gila sih jangan pesan sini ngeri sih rugi,0
tampil bahaya barang buruk,0
tampil m kecewa dikit ges bahan tipis,0
tampil sesuai oversize lengan pendek sesuai foto,1
slow respon proses lama banget deh lebih etimasi tentu shopee,1
tampil gak sesuai gambar wkwk benar benar kecewa benar benar kecewa gak sesuai gambar haha lengan gede kaos bawah pendek gua laki bukan perempuan,0
sesuai harap,1
tampil gede gapapa lah salah sendiri kali pake udah pudar padahal cuci warna pudar kali pake cuci udah mudar pirang warna,0
bahan gak sama kaya dulu terus model beda banyak jahit,0
tampil apa beranta kecewa,0
tampil tampil real pict warna bagus sayang bahan tipis sekali nerawang padahal kira bakal tebel nyata tipis sekali kecewa,0
tampil kain beda kain teman pesan kain halus ngga tebal ngga suka kain,0
ga sesuai foto sablon ga tebel jahit ga rapi sangat kecewa padahal udah langgan sini,1
tampil tipis warna putih jelek tipis banget,0
tampil bagus warna pudar baju gak rapi kotor beranta,0
bahan jelek sablon jelek,0
tampil barang real bagus banget om bagus banget,0
bagus barang cuma sangat sayang kirim lama tau pakai jnt kirim shopee,0
tampil pas lihat depan dh senang tiba balik kotor kaos kaki,0
tampil spot bolong sangat kecewa buruk,0
kecewa banget ukur aja gamuat ukur pinggang,1
tampil produk sesuai,1
jelek jahit gak rapi,0
jelek ngga sesuai gambar sablon kasar,0
tampil lumanyan warna kecewa noda hitam,0
tampil tipis warna nerawang kecewa banget nerawang,0
tampil kecil banget warna barang gak jelas jual kali amanah jangan nipu,0
tampil warna gak sesuai hitam pudar kali kalau kemas lihat dulu kak biar jadi langgan,0
mesan datang cuma,0
tampil bahan tipis kualitas barang fennel turun tipis dulu jauh sama toko belah,0
sangat bagus kaos noda luntur warna baju bekas tahun,0
tampil jujur kain bulu tipis nerawang sablon pecah warna hitam bulu jujur barang sesuai foto toko real picture kain tipis nerawang tipis sekali kira awal pesan tebal dikit nyata kain bulu kalau lihat cepat sobek jujur kecewa sekali ka beli kalau pake kyknya pake kalau jadi lap mungkin soal barang jelek,0
tampil sesuai gambar sesuai gambar udah kirim lama banget kecewa jangan beli sumpah nyesel,0
tampil kurang puas lengan kayak sambung gitu,0
produk sama bahan tipis jahit rapi bahan panas,0
bahan tipis produk sama asli tipis jahit rapi,1
desain mending warna hijau jahit kacau,1
tampil tipis warna hitam,0
biasa aja aku kira bahan lembut halus nyata bulu kayak kasar gitu beda foto kayak halus,0
jelek ni kaos warna pudar,0
tampil bahan kain bulu mungkin stok lama,0
tampil beli ukur m malah kasih xl apasih,0
jahit minus bahan gelang jelek banget kusam bahan gak terlalu oke harga rb rumah wajar sih tolong baik jahitanya bahan ujung lengan kasih bahan bagus dikit,0
warna lumayan tampil biasa pesan strap malah kirim slop payah,0
tampil biasa warna hitam army produk sesuai deskripsi kaos oversize kaos biasa size xl panjang baju cm tangan pendek bahan bukan katun s katun s deskripsi segera ubah min biar gak jebak tawar refund proses lama baru uang balik lgi,0
tampil kurang pas warna kurang turun kualitas gak kaya awal keluar brandnya,0
warna beda sama foto,1
tipis ga kain tipis ga s sablon kasar tipis gak sesuai ekspektasi,1
jahit ga jahit,0
mah bukan kaos oversize beli ukur xxl kayak ukur m ga sesuai ukur,1
warna milo bahan tipis jahit kancing benar buruk,0
anjir kantong habis minum alkohol jadi miring cok paksa gua bongkar biar jadi polos,0
baru udah robek,0
warna bagus tampil bagus sobek sakit hati gua astaga,0
kurang tebel bahan kurang gede ukur,0
alit sablon luntur cuci payah,0
bahan bagus kain tipis,0
panas gak nyaman kulit,1
warna sesuai apa pesan,0
jahit kurang rapih lem kurang,0
kualitas bahan lumayan harga segitu size ga konsisten beda sama oversize belum beli padahal udah kali belanja sini makin kesini makin kesana,1
saran tampil tshirt ukur kecil besar lengan kaos potong biasa,0
nyata kecil gaes wkwk payah,0
