review,rating
"Warna:hitam

bagus pol, jahitan rapih, sablonannya juga ga kaleng kaleng, itu ukuran L agak besar tapi kan namanya juga oversize",5
"Warna:sangat Bagus Dan sesuai dengan gambar
Desain:keren
Kualitas Bahan:tebal",5
"Desain:bagus
Warna:cocok",5
"Warna:hitam
Desain:menarik
Kenyamanan:adem dan nyaman",5
"Kenyamanan:baju terasa lembut dan nyaman
Kualitas:bagus
Pas untuk Acara:santai

Bagus bajunya bahannya juga tebel lembut dan nyaman dipakai worth it banget untuk dibeli",5
"Warna:sesuai
Desain:bagus
Kenyamanan:bagus",5
"Desain:Keren cocok untuk laki laki
Kualitas Bahan:BAGUS
Warna:Biru woshy

Keren abis",5
"Desain:menarik
Kualitas:baguss
Kenyamanan:nyaman

Kain adem pas di badan enak saat dipakai biasanya beli offline",5
"Desain:oke
Warna:warna beda yg satu agak pudar. yg satunya ya pekat
Kenyamanan:adem. cool

Bagus sesuai dengan harga ya.",5
"Warna:kombinasi menarik
Desain:keren
Kenyamanan:nyaman",5
"Kenyamanan:adem
Pas untuk Acara:casual
Kualitas:bagus bahan dan sablonnya",5
Bagus banget gk kecewa asli lupa foto doang,5
"Kualitas Bahan:makin kesini kainnya makin tipis deh kyaknya , pdhal selalu beli disini karena kainnya tebel",1
"Kualitas:oke
Kenyamanan:lumayan",5
"Warna:sesuai
Bahan:oke
Desain:menarik",5
"Warna:bagus
Desain:keren
Bahan:nyaman dan sejuk",5
Kualitas bagus bahannya adem sesuai foto dan gak mengecewakan,5
"Warna:hitam dan hijau bagus
Desain:bagus mirip merk sebelah
Bahan:nyaman

Nyaman di pakai dan pas di badan.
baham lumayan adem",5
"Desain:menarik dengan detail yang apik
Warna:sesuai gambar
Kualitas Bahan:tebal dan tahan lama

mantap",5
"Warna:bagus
Desain:oke banget",5
"Kualitas:sangat bagus
Pas untuk Acara:semua acara
Kenyamanan:nyaman banget

Sangat bagus sekali sehingga saya ingin membeli lagi nanti",5
"Desain:keren
Kenyamanan:lembut
Kualitas:sangat baik

Masalah cuma stiker yg itu aja ga ada perubahan min",5
"Desain:menarik
Kualitas:sangat baik
Kualitas Bahan:menggunakan bahan yang bagus

Bagus pas di badan, dengan harga murah worth it",5
"Desain:worth it lh ya
Kualitas:bagus
Kenyamanan:bagus",5
Untuk bb 80 rekomendasi xxl,5
"Desain:sesuai dgn yg di gambar
Warna:cakep
Bahan:enak lembut dipake",5
"Warna:hijau
Desain:ok
Bahan:lembut adem",5
"Kualitas Bahan:tebal
Warna:sesuai
Desain:keren bagus pol

Suka dengan bahan dan desainnya ga mengecewakan juga ,semoga awet ,next mau order di sini lagi",5
"Warna:jelek
Kualitas Bahan:tolol bodoh udh di chat minta ukuran 32 besar malah kecil betul dasar bego
Desain:bagus sih tapi ukurannya ga muat",1
"Bahan tipis mudah lecek klo kena keringet ngejeplak, ga worth it buat harga segitu",1
Tampilan:padahal sistem cod tapi harus kita yg ambil sendiri bukan kurir yg nganter story di kasih bintang 1 kapok beli lagi,1
"Pesan warna putih sama blue denim ukuran M, eh yg satu malah di kirim hitam ukuran XL pula, kan jadi gk bisa dipake, kecewa, padahal waktu itu pernah beli disini dan bagus semua, tapi kali ini kecewa",1
Sangat mengecewakan sekali barang yg dikirim malah barang rusak sangat tdk amanah sekali,1
"Tampilan:oke percis kayak di foto
Warna:oke

tipis kali bahannya",1
"Tampilan:ok
Warna:hitam

Barang ini mungkin stok lama atau emang bahannya kurang bagus. Baru dipake 2 jam udh putus pdhl pake jalan biasa",1
"Tampilan:celananya bolong kaya habis digigit tikus
Warna:bagus",1
Tampilan:barang tdk sesuai,1
"yang bener dong masa pesan warna abu wash yang datang malah warna hitam ,waktu di chat admin wa nya malah gada respon",1
bahannya jelek tidak oversized,1
Bajunya nggak oversize ternyata ukuran standar,1
"Baru sampai, celana dicoba dan robek kecewa",1
"Vendor lepas ,seller bodo amat",1
Seller tidak komunikatif barang yang dikirim beda dengan barang yg di display,1
"Lain yang dipesan lain yang sampai, gimana si",1
"Sangat tidak recommend guys, katanya oversized sekali pakai ngepas padahal udah ukuran XL",1
"Bahan kek tai tipis padahal udah beli 7 kali, kok skrg makin buruk kualitasnya ",1
Mengecewakan...dan aku langsung buka paketnya begitu datang ternyata zonk... aku pernah beli model yg sama beda warna di toko fisik... yg datang celana anak2 uk 32...karna ngga ada ukuran yg hitam jd aku beli online... kecewa... celananya muat cuma sampai paha...malah muat di anakku yg umur 9th,1
Motif 2 nya gede banget,1
"Saran Tampilan:kenapa kainnya sekarang tipis kayak 20s anjir

Tipis sekali kainnya sekarang anjir",1
Tidak datang sesuai pesanan,1
Size L kecil jadi ga kaya oversize,1
Maaf baru sempat review karena mau tes kualitas dulu dan ternyata kualitasnya buruk baru aja dipake 1 hari kaspirnya udah rusak.. dan 1 lgi talinya super besar kaya tali tambang dan talinya dipasang 2 pula di tas yg ukuran segitu..dan aku lepas talinya 1 agak mendingan sih pake tali 1 aja...maaf ya ini review jujur dari saya bukan bermaksud untuk menjatuhkan...mudah-mudahan kedepannya bisa diperbaiki lagi sesuai review saya.. terimakasih,1
jelek beda pas pertama beli bahan juga jelek ini udah beli yg ke3 ukuran beda padahal pesenya barang yg sama saya kapok setiap pembelian bahanya beda2 ukuran juga beda padahal belinya pinginnya sama yg pertama saya merasa ditipu,1
Pelayanan sangat lambat respon lambat.,1
Tampilan:kecewa hitamnya beda ga pekat,1
"Pas untuk Acara:kecewa bahannya tidak sesuai
Sepadan dengan Harga:lumayan",1
Stiker 1 doang pelit bet anjing,1
Tidak sesuai dengan gambar,1
XLnya terlalu gede ku kira kaya dulu XL pas gak tau yah gedean,1
Tampilan:PxL ya 60x52 yang dateng 48x50 malas deh,1
Tampilan:tipis banget woilah,1
"Tampilan:sesuai gambar ya bagus kainnya tebal mantap
Warna:hitam dan cream mantap

Bagus gk nyesal order di sini , mau order lagi nanti",5
Tampilan:kaos nya dateng udah bolong aja,1
"Warna:wash
Tampilan:SOBEK

bagus tapi sobek",1
"kainnya nerawang tipis bgt
kerahnya itu loh kok gitu ga bakal tahan lama bajunya",1
"Warna:bagus
Tampilan:kurang bagus",1
Bahan kainnya tipis banget,1
"Ini jeans, bukan chinos",1
Terlalu mahal bahan tipis tidak sesuai dengan harga,1
"Bulu nya berjatuhan, tekstur nya gk bagus",1
Pengiriminan nya lambat banget kecewa,1
"Warna:maroon

Barang tidak sesuai bahannya tipis ukurannya tidak sesuai oversize L berasa pake ukuran m sangat kecil padahal saya biasa beli baju oversize uk M tapi masih besar dan ini saya beli uk L tapi lebih kecil dri uk M katanya oversize",1
"Tampilan:zonk
Warna:jauh dari harapan ( beda sama yg di display )

Kurang masuk",1
Tampilan:Norak Banget anjing gue nggak mau beli lagi di sini,1
"Tampilan:bagus
Warna:hitam

Kedua kali nya order di toko ini,baguss deh ga nyesel",5
Sorry bangett di deskripsi t-shirt nya bahan cotton 20s ternyata pas sampee bahannya 30s tipis bgt,1
Ada noda kuning di kaos,1
"Warna:bagus
Tampilan:buruk

Tipis bahannya kaya baju bekas",1
"Kualitas bahan sangat sangat jelek dan tipis.
Seperti harga baju 35ribu, bahkan kadang lebih cantik kualitas 35ribu",1
Tampilan:bahan jelek kasar nggak sesuai yang diinginkan,1
"Bahan tipis lebih ke 24s
Cuttingan oversize kurang lebar cuman panjang di lengan doang",1
"Tampilan:TIDAK MEMILIKI KUALITAS

BOLONG DAN BERNODA.
Barang tidak berkualitas. TIDAK SESUAI DENGAN HARGA. BERBEDA JAUH DARI YG DI PROMOSIKAN MODEL.

Mau return, tapi dimintain ongkir.
Penjual kurang teliti. Ngga mau rugi.",1
"Tampilan:bagus
Warna:bagus

Padahal sudah order size xl tapi masih kecil banget",1
Tampilan:gak sesuai ekspektasi,1
Kekecilan terus aku beli disini padahal ukurannya pas 32,1
"Warna:kurang bagus
Tampilan:kurang bagus

Sandalnya gk sesuai sama aslinya.tapi pas sih di kaki saya",1
Tidak Sesuai Dengan pesanan,1
"Tampilan:buruk
Warna:kusam

Kainnya tidak bagus",1
"Kualitas:kurang

Gak sesuai yg saya pesan",1
"kain tipis, mahal, sobek dah lah",1
Jahitan kainnya kurang rapi,1
"Kualitas:lumayan

Beli 2 baju yg berkerah sm yg enggak, ukuran M panjang 71cm tp pas dicoba yg kerah lebih kecil padahal sama2 M, rugi gw woy 60rb blok",1
"Kecil gausah dibeli udh pesen yg xxl ttp gamuat , padahal biasanya ane make XL",1
panjang baju kurang 10 cm apa apaan itu,1
"Saran Tampilan:kurang sih

Kurang bagus sablonnya sama warna kainnya tak sesuai ekspektasi",1
Kecewa kainnya kotor dan ada noda,1
tidak sesuai dengan yg di gambar,1
Warna beda kecewa banget,1
Kualitas:kainnya tipis bet,1
"Sebenernya sih agak kecewa ya, disini kaos yg saya beli size XL tapi pas saya coba kok kaya size L ngepas banget di badan saya dan gak kelihatan oversize",1
Kenyamanan:kecewa banget pesannya hitam polyester nyampe nya krem polyester,1
Gambar tdk sesuai dengan produk,1
"Celana tidak dibungkus dgn plastik, seperti celana bekas dan ditambah kantong celana bolong, jgn terperdaya dgn harga murah, nyesal banget beli dsni",1
Tipis bet astaga kayak kain lap,1
kecewa banget belanja disini,1
"Styling:kayak barang bekas
Pas untuk Acara:barang jelek
Sepadan dengan Uang:tidak sesuai dgn harga dan kualitas

Sangat kecewa , gak bakalan beli disini lagi karna barang bekas bajunya berbulu warnanya blm dipakai udah luntur sangat2 buruk sekali ini toko jual barang tidak sesuai dengan yang diharapkan barang sampah",1
"Styling:jelek
Sepadan dengan Uang:tidak sesuai
Kenyamanan:jelek

Barang nya buruk dan tipis gambar sama foto tidak sesuai beda sama toko seblah harga pas kualitas oke",1
"Pesan yang oversize malah datang yang kaos biasa, diteliti dulu ya kak sebelum dikirim",1
"Saran Tampilan:tampilan bagus
Sepadan dengan Uang:tidak
Kenyamanan:lumayan

barang baru 2 kali pakai lemnya udah copot",1
Pas untuk Acara:kecewa,1
Saya pesan putih datangnya hitam. pengiriman juga lama,1
"Dikira pelanggan pada goblok Kami tau mana yg baru dan mana yg bekas,, dari bau sama kainnya jelas itu bekas cuma dikasih label di belakang biar terkesan baru,, kain di kantongnya juga udh lusuh dan mulai berbulu,, baunya bikin mual 
Bukan mau menjatuhkan pihak manapun tp saya bicara apa adanya demi Allah dan Rasulnya",1
kata nya press tali sama kaos kaki tapi pas nyampai gk trus bahannya sesuai tipis banget,1
Pas untuk Acara:barang tidak sesuai dgn foto yg mbak posting,1
"Pas untuk Acara:no
Styling:tidak cocok
Kenyamanan:tidak nyaman

Admin kurang fast respon dan pengiriman lama kek siput",1
Pas untuk Acara:ukuran tidak sesuai deskripsi,1
Saran Tampilan:Tidak sesuai dengan gambar,1
Pas untuk Acara:ukurannya nggak sesuai,1
pesan 2 datang 1 tolong dicek lagi lain kali,1
Yang datang enggak sesuai,1
"Pesan warna hitam yg datang warna putih, aneh bet",1
Kenyamanan:bahan tipis nerawang,1
"Kenyamanan:tidak nyaman

Ada robek nya di tangan",1
"Celana cacat, kagak ada kancingnya. Sudah ajukan pengembalian proses terlalu rumit. Kesalahan yang dibuat sama seller dengan ketidaktelitiannya mesti kita yang urusin. Padahal ini buat dikasih ke orang. Malunya minta ampun ngasi barang cacat begitu . Didiskusi chat bukan ada respon apa , Kecewa gua",1
"barangnya lama bet nyampenya,
kalau gw tau kemarin, gw beli di cabang , lombok tengah",1
Kenyamanan:BAHANNYA JELEK BANGET,1
Ukuran kurang sesuai dan warna ga mirip,1
"Saran Tampilan:xxl

Bukan masalah kecil, tapi warna baju tidak sesuai, masak pudar, laen kali kalo bikin baju sesuaikan sm yg di foto",1
"Bahannya gk sesuai sama deskripsi
Kayak kain lap aja
Tipis sekali
Yg jujur kalau jualan
Katanya cotton 20s
Tapi tipisnya minta ampun",1
"Lama di kurir,, sombong kali",1
"Styling:miss acak2an
Kualitas:buruk

Tipis nerawang , m oversize tp ngatung kayak size s",1
Barang tdk sesuai pesenan yg ada di gambar,1
Tdk sesuai warna pesan yg lain datangnya warna lain,1
"Kualitas:bukan 20s jelek

Bahan jelek bukan 20s
Bukan oversize, fit malah kaya kaos biasa",1
Barang jelek tipis Sedikit kecewa,1
beli cream dikasih hitam,1
"Pas lehernya kegedean jelek banget ,kalo tangan sama pinggirnya bagus pas",1
Kenyamanan:barang tdk sesuai bahannya tipis,1
Bahan kayak karung kacang tanah,1
lengannya panjang sebelah anjir,1
Styling:bahannya jelek bet,1
Styling:bahannya tipis gak sesuai sama foto,1
"Saran Tampilan:gk bagus

Saya minta ukuran yg M yg datang ukuran XL malah kebesaran, gk bagus",1
"Kualitas:buruk
Saran Tampilan:biasa aja
Styling:bad",1
Ini topi apa kerudung sih atasnya gede banget,1
Penipu beli dateng ga sesuai,1
"Kenyamanan:sablon belakangnya sangat jelek
Kualitas:sablonnya jelek
Sepadan dengan Uang:tidak sepadan

Sablon tulisan yg dibelakang sangat jelek banget dicuci luntur sablon belakangnya, nyesel banget belinya ini toko tidak jujur bangke bener",1
"Asli saya kecewa baru kali ini saya beli baju di arj88 ,malah bajunya jelek",1
Kainnya seperti kain Baju partai beda dengan sebelumnya,1
kain tipis bet anjing,1
"Quality control + respon seller NIPU gak sih Saya beli jaket buat langsung dipake, tapi malah disuruh PENJUAL bolongin sendiri SEMUA lobang kancingnya padahal di foto kancingnya bolong semua & di deskripsi gak ditulis KANCING BOLONGIN SENDIRI EAA . Saya sih merasa TERTIPU ya, gak tau kalo kalian gimana. masa iya ke resto mesen ayam goreng tp ayamnya disuruh goreng sndiri. PLUS RESPON PENJUAL bikin gedeg buat saya nulis seperti ini (SCREENSHOT TERLAMPIR) nyuruh saya PERBANYAK belanja online biar dapat REFERENSI Harusnya KALIAN yang PERBANYAK referensi. Toko macam apa ini saya gak ada waktu ngurus returnannya, udah kadung kesal & acara yg harus pake jaket ini udah lewat.",1
"Kenyamanan:tidak nyaman dipake
Pas untuk Acara:jelek
Sepadan dengan Uang:tidak sepadan

seharus nya di tambahkan di promo dengan kualitas kain tak kira harga promo sama kayak barang yang ada di toko yang kain elastis dan tebal yang ni kain tipis dan gak elastis cepet robek sekrng dah buat keset,memang harga segitu bagi yang lain cocok bagi saya tambahin lagi dikit dah dapet di toko yang bagus",1
jelek bet bahan tipis dah gitu gede kaga jelas ga usah beli sini,1
Belom ada sebulan udah lepas lemnya payah.,1
"Bajunya bahannya tipis gk kayak kita beli di tokonya langsung, agak kecewa sih,malas gue beli di arj lagi",1
"ngecewain parah bahannya tipis warna luntur padahal baru lu kok dagang bisa jangan bodohin pelanggan nutup rezeki diri lu sendiri padahal gua sering beli di toko ini dan ini terakhir kali nya gua beli di toko lu gua harap lu cepet2 sadar gmn cara nya jualan yg benar
Quality:sangat buruk
Gk rekomendasi banget beli di toko ini",1
"Value for Money:Harga tidak sesuai dengan kualitas
Styling:Biasa aja
Suggested Look:Biasa aja

motif yang dipesan tidak sesuai, saya pilih motif tulisan jepang malah yang dikirim motif daun, baru kali ini mesen barang ga sesuai arahan, maaf saya kasih bintang 1 dan saya unfollow",1
Barang bagus tpi penjualnya ga jelas ngirimnya aku uda pesan 2 warna malah dikirim 2 barang warna yg sama lagi ga jelas banget,1
"Tampilan:ok
Warna:ok

XXL kecil banget parah",1
"Tampilan:produknya lumayan bagus tapi kekecilan tdk sesuai ekspektasi pdhl dimana"" ukuran 42 disini tdk sama percuma gk terpakai",1
Jelek tipis kasar bahannya gak sesuai,1
"Tampilan:buruk

mahal tapi bolong. barang jelek dijual mahal",1
Deskripsi ditulis Oversize kok ukuran bajunya reguler,1
"Lama nyampenya , pas Dateng jelek bgt barangnya berkarat bau pula",1
"Tampilan:motif menarik, kualitas buruk, sangat tipis dan, kerahnya kayak kain kenceng, bahannya juga tipis banget, kayaknya klo nyangkut robek
Warna:biasa",1
Tampilan:warna kainnya pudar,1
Jelek bat sablonnya sekali cuci langsung pada kelupas,1
"Tampilan:biru
Warna:biru

Kesal",1
Kain Terlalu Tipis dan nerawang,1
"Tampilan:saya pesan m yg dikirim malah s,gimana sih?",1
"Warna:Tidak sesuai dengan gambar, terlalu pudar dan pekat
Tampilan:Sablonnya kurang bagus, cepat rusak",1
Tampilan:sesuai dengan saya inginkan,5
kecewa gak sesuai sama foto,1
"Tampilan:jelek
Warna:ok

Kukira xl ternyata kek l ini parah ni",1
"Tampilan:bagus
Warna:kurang bagus

Warnanya kurang bagus",1
Pesanan tidak sesuai dgn diskripsi saya sangat kecewa,1
"Warna:sablonnya murahan banget, jelek",1
Tampilan:lumayan lah buat santai,1
"Barang tidak sesuai gambar, giliran komplain ga ada tanggapan",1
penjual keliru ternyata croptop,1
"Tampilan:lumayan
Warna:Hitam

Pengiriman lama bangsat",1
"Woy biawak ngomong lah kalo ni L kecil , kepala aku cukup gak, untuk bawahan ni",1
Kecewa.mahal bangat dengan harga segitu kainnya tipis nerawang kayak harga 35 k,1
"Tampilan:saya mesen 2 kenapa barang cuman satu saya lho udah bayar keduanya ,tapi barangya bagus cuman datang hanya satu",1
"Tampilan:berkarat dibagian tali hoodie

warna luntur saat dicuci, dichat tidak direspon",1
"Tampilan:gambarnya bagus,tapi celananya tipis bgt",1
"Tampilan:bagus
Warna:bagus

Barang bagus cuma kurir tidak ramah",1
"Warna:hitam kusam
Tampilan:Tipis

Kecewa, pengiriman lama banget Sampai berminggu minggu,bahan tipis banget",1
"Hari itu pernah beli 3 kaos disini itu hari itu memang bagus, tapi untuk baju yg ni kecewa si soalnya datengnya malah bagian collar kuning” gitu kayak entah bekas apa dan sompel dikit tapi 2 baju lainnya yg gue pesen bagus si, cuma yg ini sampe kuning loh",1
"Tampilan:model bagus tapi ternyata motifnya cuma sablonan, kirain print.

Bahan sangat tipis dan berbulu agak kecewa sih gk sesuai ekpetasi.",1
Ada noda tinta di kain,1
"Ini kenapa kerahnya ga muat 
Lu bikin gak diukur lagi apa gimana dah
KECEWA",1
"maaf sebelum karena sebelumnya beli warna hitam ukurannya XL pas bagus karet di tangan juga bagus, niat mau beli lagi buat ibu karena kepengen yang warna cream malah ukuran XLnya besar bgt, karet di tangan juga besar bgt kayak dah molor ga kenceng sama sekali dan lengannya panjang bgt, yang dikirim kaya ukuran XXL tapi tagnya XL dari bahannya juga beda dari yang saya beli sebelumnya warna hitam, jadi ibu saya ga bisa pake terlalu sangat besar",1
Bajunya pendek banget anjir . Padahal ukuran nya pas cuman rada kependekan,1
"Tolol, beli celana panjang yang dateng celana pendek",1
"Tampilan:bagus
Warna:hitam pudar
Warna kainnya pudar woy anjir lah",1
bahan jauh dari cotton combed 20s,1
Apaan harga segitu bahannya kek 35an tipis banget minimal harga segitu udah bagus tebel,1
"Tampilan:jelek
Warna:hitam

Wkwkwk jangan dibeli dah",1
Pengiriman cukup lama padahal masih satu pulau cuma beda kota,1
Bagus tapi besar di pundak,1
Tampilan:beda yang datang sama di foto,1
"di kaos kaki ternyata bermasalah juga, ada 1 kaos kaki yg tidak sesuai pesanan, dan tidak ada konfirmasi dari tokonya kalo diganti",1
"barang gak pas sama hp kebesaran, jadi gak kepake. padahal disitu udah jelas xiaomi mi note 10",1
"Bagian bawahnya pendek banget, gak sesuai lah pokoknya",1
"Warna:cocok sama yg di pesan
Tampilan:bagus",5
"Bagian lengan terlalu panjang, bagian badan terlalu pendek mentok Sampek pinggang kayak bukan ukuran L yang biasa saya pakai",1
Jelek banget pesan lain yg datang lain,1
"Tampilan:tidak sesuai yang saya pesan
Warna:putih

Jelek, tidak rekomendasi beli baju disini, saya pesan yg mana yg di kirim yg mana, ga jelas.",1
masak baru beli udah bolong,1
payah pengirimannya lama banget,1
"Tampilan:bahan nya jelek banget
Warna:lumayan

Bahan jelek",1
"Mau honest review. Pertama barang kosong tp di etalase masi ready (udah diconfirm chat dan sudah oke), kedua panjang tidak sesuai dengan detail ukuran yg tercantum di keterangan (XL cuma 68cm), dan ada obrasan di belakang baju yg bikin baju jadi tidak enak dipandang (pas saya coba buka jahitan dari belakang baju TERNYATA BAJUNYA ROBEK DAN DI TAMBAL PAKE OBRASANN) FIX UDAH TERGOLONG BAJU REJECT. Dr pihak toko sudah menawarkan return tp saya menolak karna menurut saya ribet dan prosesnya lama karna dr tangerang ke Denpasar. Sekian, semoga kedepannya lebih teliti. Karna saya sudah excited bgt beli baju ini pake gaji saya yg merupakan suatu kebanggaan tersendiri hehe.",1
Jahitan ngawur banget kecewa,1
"Tampilan:Bajunya tidak oversize, lengannya terlalu pendek, dan kerahnya terlalu kecil dan ketat",1
udh langganan tapi sekarang ukuran nya kecil dari yg dlu di beli,1
"Warna nya beda banget sama yg di foto, bahan tipis panas. Kacau",1
"Tampilan:kurang menarik bau bajunya kek tai

Buruk sekali",1
Sebagian pas sebagian kecil sebagian besar. Gak konsisten,1
"Lain kali dicek lagi Sblm dikirim, atau emang sengaja atau gimana
Dikirim malah celana panjang, mau return ribet malas",1
Tampilan:bajunya pendek lebar di sisi jelek kalau dipakai,1
Tampilan:ukuran 28 udah kayak ukuran 40 jauh sekali sama pinggang saya,1
"Tampilan:sampah
Kayak kontol",1
"Bahannya tipis banget, kualitasnya sangat buruk, sizenya kecil dan ini bukan oversize. Gk worth it, payah",1
Tampilan:udah kek celana sport aja ku pake wkwk,1
Toko anjing tidak sesuai pesanan babi bangsat,1
"Tampilan:borok
Warna:myn

Bahan tipis sablonan borok gak sesuai dengan gambar",1
"Tampilan:kecewa

Kecewa banget",1
"Warna:tidak pekat

Bahan tebel cuma kek bulu kambing",1
"Tampilan:benyek ga kaya biasanya

Packing ngasal padahal dulu beli ga kek gini",1
ga ada oversize2 nyaa,1
Jelek di bagian kantong jahitan miring dan gak ada respon dari penjual buruk gak usah dibeli,1
"Tampilan:M
Warna:hitam

Lumayan",5
"Tidak sesuai gambar dan ada bekas noda, kayak turun warna gitu segaris, warna dan pesenan tidak sesuai, masak nggak sortir dulu sebelum di packing.",1
"Warna:army
Tampilan:buruk

Beli yg kedua kalinya, ternyata sangat buruk, tidak amanah, barang sangat tipis,",1
"Tampilan:parah

Kenapa ya nggak dicek dulu kalau mau kirim",1
"Tampilan:jelek
Warna:jelek

Tipis, murahan tapi emang murah sih",1
"Tampilan:jos

Kecewa minta ga kasih tag malah di kasih :(",1
"Warna:hitam
Tampilan:tipis mudah kusut

Nggak worth it banget kayak baju 30 ribuan",1
"Bahan tipis bgt beda kyk yg satu lumayan tebal
Kaya baju sisaan di kasih ke saya sangat kecewa",1
"Pesan no 40 datang no 39, hadeh",1
"ukuran L kekecilan untuk saya, ga bisa dipakai .. sedih",1
Bahannya tipis dan sablonannya pecah,1
gak sesuai awal beli bahanya bagus jepitannya pas ngejepit banget ini lepasan bahanya jelek kaya topi sekolah sd,1
Tampilan:bahan gak sama tipis dan penjual gak ramah,1
"Tampilan:cok kainnya tipis, harganya mahal lagi gak sesuai harga",1
Pesen kupluk dikirim topi,1
"Tampilan:rapi
Warna:putih

Kualitas nya bagus, ukuran nya pas, bahan nya tebal, cocok untuk di pakai, kapan-kapan beli lagi bro di produk ini.",5
"Warna:hitam

Kak kok tipis banget?",1
Warna:jelek tidak sesuai,1
"Tampilan:kontol aku pesan kupluk bukan topi kontol

ngentod",1
Ini baju apa Kok panjangnya sangat tidak sesuai dgn baju yg biasa saya pesan . Pendek kali ini bajunya . Kayak abis kena potong lalu di jait lagi . Gimana nih .biasa saya pesan gak macam ini ya.. merk memang fennel tapi yg ini kok pendek kali. Ga kayak baju yg biasa . Sizenya sangat tidak konsisten . Ini terakhir kali saya belanja di toko ini .,1
Keliru nih ukurannya bukan oversize.,1
"Tampilan:sy tidak puas belanja di toko ini bahannya melar bgt udh gitu tipis tidak sesuai dengan harga
Warna:kusam",1
Lengan kebesaran gimana sih gk sesuai udah beli mahal,1
Barang tidak sesuai dengan gambar,1
Bahannya gak sesuai yg foto,1
apaan 30rban nerawang banget woi,1
